player,team,role,overseas,points_match1,points_match2,points_match3,points_match4,points_match5,points_match6,points_match7,points_match8,points_match9,points_match10,points_match11,points_match12,points_match13,points_match14,points_q1_e,points_q2,points_final,points_total
Suyash Sharma,RCB,BOWL,,33,4,NO,4,31,4,12,72,4,8,2,NO,23,-2,111,NO,4,310
Marcus Stoinis,PBKS,AR,1,25,4,-1,8,57,NO,13,5,NO,NO,22,NO,69,4,40,39,12,297
Rachin Ravindra,CSK,AR,1,89,64,10,7,54,8,54,9,NO,NO,NO,NO,NO,NO,NO,NO,NO,295
Anshul Kamboj,CSK,BOWL,,NO,NO,NO,NO,NO,40,39,NO,43,2,4,28,43,95,NO,NO,NO,294
Washington Sundar,GT,AR,,NO,NO,NO,70,NO,47,NO,31,19,29,NO,NO,NO,NO,81,NO,NO,277
Sandeep Sharma,RR,BOWL,,23,8,27,66,33,0,10,31,50,29,NO,NO,NO,NO,NO,NO,NO,277
Ashwani Kumar,MI,BOWL,,NO,NO,136,23,NO,NO,NO,23,NO,NO,NO,NO,NO,12,29,48,NO,271
Venkatesh Iyer,KKR,AR,,11,4,7,107,65,4,25,18,12,12,4,NO,NO,NO,NO,NO,NO,269
David Miller,LSG,BAT,1,46,27,26,42,16,9,4,11,27,35,25,NO,NO,NO,NO,NO,NO,268
Ravichandran Ashwin,CSK,BOWL,,29,37,41,12,56,3,NO,6,NO,NO,NO,15,68,NO,NO,NO,NO,267
Liam Livingstone,RCB,AR,1,23,66,87,18,8,4,9,NO,NO,NO,NO,NO,NO,2,4,NO,45,266
Tushar Deshpande,RR,BOWL,,79,14,1,NO,51,2,-2,31,-1,NO,NO,NO,54,37,NO,NO,NO,266
Quinton de Kock,KKR,WK,1,9,141,5,5,23,43,14,NO,NO,NO,NO,NO,NO,11,NO,NO,NO,251
Arshad Khan,GT,AR,,33,NO,29,NO,29,8,33,NO,NO,NO,32,35,24,26,NO,NO,NO,249
Devon Conway,CSK,WK,1,NO,NO,NO,18,101,18,NO,NO,NO,NO,NO,10,16,76,NO,NO,NO,239
Glenn Maxwell,PBKS,AR,1,21,45,61,34,9,51,NO,NO,12,NO,NO,NO,NO,NO,NO,NO,NO,233
Karn Sharma,MI,BOWL,,NO,NO,NO,NO,NO,91,4,NO,NO,6,95,7,27,NO,NO,NO,NO,230
Zeeshan Ansari,SRH,BOWL,,NO,NO,97,37,4,2,16,29,4,27,8,0,NO,NO,NO,NO,NO,224
Moeen Ali,KKR,AR,1,NO,65,NO,12,NO,61,NO,2,NO,NO,48,33,NO,NO,NO,NO,NO,221
Rahul Tewatia,GT,BAT,,12,10,12,12,40,2,18,10,15,12,16,4,6,21,25,NO,NO,215
Ruturaj Gaikwad,CSK,BAT,,91,10,94,10,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,210
Kamindu Mendis,SRH,BAT,1,NO,NO,NO,63,5,NO,NO,NO,86,2,NO,47,NO,NO,NO,NO,NO,203
Sameer Rizvi,DC,BAT,,9,NO,29,NO,NO,NO,NO,NO,NO,NO,NO,4,63,97,NO,NO,NO,202
Sam Curran,CSK,AR,1,8,14,NO,NO,NO,NO,NO,NO,16,123,39,NO,NO,NO,NO,NO,NO,200
Mohammed Shami,SRH,BOWL,,25,32,3,31,61,-2,4,NO,37,-2,NO,NO,NO,NO,NO,NO,NO,189
